id,x,y,class
0,-4.0026927,29.860361,0
1,2.8477702,16.319761,0
2,-2.1485295,40.12841,0
3,10.638953,41.02721,0
4,8.463157,21.197208,0
5,3.432048,48.696487,0
6,9.43868,41.16982,0
7,-2.721132,47.54925,0
8,2.3154693,16.572222,0
9,-12.411881,42.713375,0
10,-13.220516,43.72044,0
11,-0.8942495,45.991478,0
12,2.2646315,27.589382,0
13,-16.385485,32.386898,0
14,6.4833727,40.751194,0
15,-3.3400884,51.91797,0
16,4.446693,32.72088,0
17,-5.204005,47.63469,0
18,6.289115,19.529018,0
19,8.674092,48.574497,0
20,10.128728,42.857334,0
21,5.6794763,28.673971,0
22,10.47815,42.049274,0
23,-6.248349,35.732365,0
24,-8.865287,17.05368,0
25,-7.5805964,18.016703,0
26,4.6720576,41.200684,0
27,-14.438064,35.217075,0
28,-19.054522,32.34234,0
29,-12.072682,40.625187,0
30,-8.054543,16.17203,0
31,6.4610524,44.825138,0
32,6.4947047,45.36885,0
33,-6.278415,47.798283,0
34,-8.63278,42.32667,0
35,-6.260065,19.71799,0
36,-14.411952,42.927624,0
37,-4.24103,41.02908,0
38,-15.870918,26.293245,0
39,-6.831409,24.962942,0
40,-5.9532256,29.85537,0
41,-5.9655814,51.5924,0
42,-17.492817,26.048183,0
43,-7.204377,26.42174,0
44,-9.028516,22.735577,0
45,-13.433815,37.823875,0
46,8.005047,22.428541,0
47,-12.386941,27.173433,0
48,-6.5589514,29.696993,0
49,-4.0082035,39.29436,0
50,-5.7835,19.120308,0
51,-7.0851665,30.572197,0
52,-6.224477,18.332487,0
53,-9.394409,24.730732,0
54,-5.9241266,36.184986,0
55,0.8905369,26.223139,0
56,-1.2472384,44.182117,0
57,8.053739,22.250774,0
58,-0.79907864,17.728725,0
59,-3.901068,51.778316,0
60,-8.474804,16.400938,0
61,-14.068033,41.00401,0
62,3.151937,50.056194,0
63,2.3853114,28.675417,0
64,6.4092503,43.1608,0
65,-19.416477,30.69959,0
66,-17.239353,26.516035,0
67,5.963139,33.935253,0
68,-0.8151425,45.90938,0
69,6.2282333,32.07009,0
70,-1.8268886,18.717148,0
71,-5.9354515,36.929768,0
72,-20.485283,34.218323,0
73,-14.714027,34.612522,0
74,3.7376442,50.126602,0
75,-14.370955,31.063097,0
76,-6.300368,28.68176,0
77,-18.566183,33.56954,0
78,-15.520829,32.229065,0
79,-2.2693632,47.835762,0
80,-8.544971,45.185226,0
81,-7.8169727,44.077843,0
82,-15.04753,31.589893,0
83,5.6709313,22.76068,0
84,-7.3441334,32.32299,0
85,1.5990101,17.509705,0
86,-2.3239346,23.866558,0
87,-5.133332,29.852186,0
88,-6.3686953,50.825157,0
89,-1.114788,45.17924,0
90,-18.69827,32.737366,0
91,-2.442731,40.161808,0
92,-6.545322,45.12815,0
93,-8.989138,42.570457,0
94,-13.007013,38.185295,0
95,-9.284808,17.172709,0
96,-8.550583,38.82514,0
97,-19.031258,31.715767,0
98,-4.9215784,49.745148,0
99,2.714646,49.539803,0
100,-10.862022,43.38351,0
101,-18.255766,26.476208,0
102,-15.782807,31.715984,0
103,3.7541556,49.89737,0
104,-1.6316938,44.532192,0
105,10.844078,43.226234,0
106,-2.6754959,25.611086,0
107,4.9596825,26.685272,0
108,6.027926,41.545506,0
109,-18.990473,29.69314,0
110,7.474584,46.132145,0
111,7.0633135,22.820223,0
112,-13.354358,40.821526,0
113,-3.3449152,51.269417,0
114,-4.8410435,30.4788,0
115,7.145384,43.247955,0
116,-16.889595,39.652714,0
117,-6.667862,18.677416,0
118,-1.2660848,30.829285,0
119,-9.626408,17.205858,0
120,-8.8467,40.219284,0
121,-5.2022696,17.289408,0
122,3.1805947,29.47376,0
123,-1.8310537,30.455887,0
124,3.6547039,18.939512,0
125,-14.166244,36.365425,0
126,-9.625163,18.047981,0
127,7.170776,39.788013,0
128,-18.544962,34.685738,0
129,-13.647645,43.53745,0
130,-2.0999491,23.064936,0
131,-6.7964983,37.696766,0
132,5.835206,45.928993,0
133,-5.0510473,39.3478,0
134,6.1223083,21.398695,0
135,-4.370646,49.92749,0
136,-3.8805892,47.291466,0
137,-6.4672003,35.106438,0
138,-14.407275,30.85914,0
139,-6.537686,39.691376,0
140,5.058001,17.666094,0
141,-13.393931,35.15065,0
142,-6.980436,17.866776,0
143,-0.8712148,17.739103,0
144,-17.655863,37.37747,0
145,-1.3256534,26.085804,0
146,-2.5165524,24.14278,0
147,-14.86542,41.090206,0
148,3.303048,25.452524,0
149,3.7471068,26.681044,0
150,2.3805182,22.212322,0
151,-11.351218,44.481056,0
152,8.398428,25.575531,0
153,0.97549963,16.264002,0
154,4.8634996,40.760147,0
155,-8.505985,21.49065,0
156,-18.411894,32.86253,0
157,-5.6690817,33.726673,0
158,4.6044707,26.939991,0
159,6.0061994,31.181318,0
160,0.80239207,18.395466,0
161,-4.201505,16.807888,0
162,-2.452919,49.58982,0
163,-8.484776,18.096315,0
164,7.7999396,20.612307,0
165,-13.758998,37.05479,0
166,4.082129,43.336502,0
167,-4.892945,35.817596,0
168,-5.7917604,45.243183,0
169,-6.9090877,37.310627,0
170,-6.864223,17.27945,0
171,4.0925193,42.9493,0
172,-16.507416,31.191763,0
173,-14.909537,24.467058,0
174,4.6313787,41.647266,0
175,-5.0836563,51.930088,0
176,-7.706659,32.24846,0
177,-3.0807512,51.661274,0
178,-5.224633,40.133106,0
179,7.337847,48.84072,0
180,-7.7897954,26.109297,0
181,6.109571,50.102596,0
182,6.202758,21.862774,0
183,-2.4813485,31.056177,0
184,-17.07558,28.5697,0
185,-14.116166,37.59793,0
186,-0.8328082,47.379086,0
187,-6.0228314,26.454147,0
188,1.9143698,47.008034,0
189,-8.64801,44.65174,0
190,-16.302248,39.647232,0
191,-18.01752,35.750614,0
192,-17.77692,34.947037,0
193,6.447857,43.933006,0
194,-2.8065894,40.128845,0
195,-4.316701,27.25061,0
196,-16.526335,26.179657,0
197,3.580791,17.655588,0
198,5.3379807,50.019943,0
199,-16.280764,29.379852,0
200,-4.419027,51.27173,0
201,10.531365,41.172176,0
202,-15.956574,27.453989,0
203,7.1678615,49.133602,0
204,-8.746854,39.15691,0
205,-10.987394,44.871212,0
206,-4.8521843,40.287746,0
207,-12.8856,42.472527,0
208,7.855269,24.796007,0
209,-8.516709,40.241676,0
210,7.021191,45.718567,0
211,5.015418,31.706015,0
212,4.7978263,42.302925,0
213,-15.025229,25.286419,0
214,-15.880928,37.277817,0
215,3.6390514,25.084621,0
216,-15.877657,39.16352,0
217,-5.5915976,34.715702,0
218,-1.606093,30.629948,0
219,-3.721988,39.949974,0
220,-15.437298,24.579817,0
221,-7.6724324,45.20487,0
222,-4.731577,39.572697,0
223,-19.998444,33.50908,0
224,-9.310245,17.531364,0
225,1.779836,21.951899,0
226,-6.9936,18.09864,0
227,-16.124935,41.534306,0
228,-7.5908875,18.81329,0
229,-7.540537,46.061832,0
230,-15.626541,25.078148,0
231,4.0727067,17.108232,0
232,9.569841,47.43681,0
