id,x,y
0,-48.14801,-0.85309494
1,-44.718067,-16.81675
2,-40.057354,5.3917184
3,-23.861513,-6.528972
4,-50.38906,-15.55507
5,-27.49679,-7.4944024
6,-23.197552,-5.571371
7,-28.944836,2.0177922
8,-44.346157,-16.950249
9,-33.32104,-0.847705
10,-34.164177,-0.44163886
11,-28.803024,-1.272528
12,-51.169712,-7.4861417
13,-31.49392,-10.94482
14,-23.557022,-2.625509
15,-26.12142,5.353795
16,-56.079803,-5.2479715
17,-30.107023,4.227707
18,-49.570694,-18.600456
19,-23.172535,-10.417793
20,-22.290136,-6.894735
21,-53.958126,-8.834126
22,-22.958153,-6.8900404
23,-40.36688,-4.1816406
24,-37.662483,-21.915539
25,-38.15282,-20.242386
26,-21.924122,-0.3651422
27,-30.687235,-7.4786596
28,-34.46199,-11.643441
29,-31.50588,-2.150806
30,-38.730366,-21.95904
31,-19.464998,-3.8911104
32,-19.203001,-4.198025
33,-30.891174,4.4519644
34,-36.832916,1.977255
35,-37.222996,-17.829212
36,-34.625835,-1.537477
37,-39.293262,3.933625
38,-30.153173,-14.561608
39,-42.918915,-7.269793
40,-46.565315,-0.350061
41,-28.124346,6.998941
42,-31.1468,-16.077692
43,-45.171177,-3.960266
44,-38.235,-13.772307
45,-32.10359,-4.9347506
46,-51.80127,-15.48308
47,-39.46295,-8.28582
48,-45.95757,-0.60100865
49,-40.992546,3.7086663
50,-37.779846,-18.186413
51,-44.91463,-0.6501479
52,-38.03496,-19.049702
53,-38.24947,-11.36179
54,-40.275898,-3.7583447
55,-49.576214,-7.6253924
56,-28.551239,-2.2472212
57,-51.424183,-15.254758
58,-42.10245,-17.886003
59,-26.678123,5.6433535
60,-38.27853,-22.07398
61,-34.706017,-2.1477468
62,-28.742052,-7.8080425
63,-52.047432,-6.664666
64,-21.27937,-3.1899273
65,-35.16819,-13.302486
66,-31.252085,-15.637473
67,-57.761032,-6.067265
68,-29.378922,-2.206258
69,-56.57165,-7.0273433
70,-40.905136,-16.861225
71,-40.79889,-2.6915786
72,-37.48164,-11.390809
73,-30.794468,-7.9666247
74,-28.39668,-8.530161
75,-28.337904,-11.112843
76,-46.262386,-1.5172272
77,-34.40772,-10.499388
78,-30.309029,-10.446411
79,-28.475449,1.8998357
80,-33.003586,2.2713223
81,-34.16669,2.6331334
82,-29.477737,-10.840534
83,-50.581455,-14.012199
84,-42.905113,-0.28289577
85,-43.630707,-18.084583
86,-46.732,-8.328432
87,-47.334553,-0.30772436
88,-28.86706,6.8313885
89,-28.329376,-1.3655365
90,-34.213646,-11.202757
91,-40.028027,5.1607156
92,-33.166885,3.6798337
93,-36.54346,1.8042365
94,-32.206696,-4.3552947
95,-37.365173,-22.111864
96,-41.991108,0.47342092
97,-34.41231,-12.18134
98,-28.54616,5.1302376
99,-28.343016,-7.3010874
100,-34.967144,0.65025854
101,-32.221462,-16.489931
102,-30.224451,-10.864113
103,-28.140549,-8.406273
104,-28.287804,-1.5804751
105,-22.360502,-7.7927203
106,-47.44077,-6.4781556
107,-52.17884,-9.758802
108,-23.5841,-2.0519142
109,-34.315426,-14.577
110,-19.338318,-5.483489
111,-51.368305,-14.849853
112,-35.56913,-1.1243943
113,-26.405102,4.912742
114,-47.649925,0.084711485
115,-21.18401,-3.940069
116,-34.36943,-3.6267874
