id,x,y
0,-30.085724,-7.363818
1,-39.385174,-19.441288
2,-34.510773,1.9443419
3,-47.354427,-3.733647
4,-46.37707,-19.35482
5,-38.126545,0.29794562
6,-47.627357,-2.3818362
7,-37.69385,5.676485
8,-39.11669,-18.95709
9,-27.088194,5.8328066
10,-25.705883,5.899839
11,-37.9063,3.2539396
12,-46.476414,-11.044959
13,-20.82898,-3.7882018
14,-48.428574,0.52455467
15,-40.011047,9.248107
16,-51.7835,-9.617158
17,-35.99287,7.336851
18,-43.822372,-19.087896
19,-42.052876,-2.5715516
20,-46.176723,-2.6756337
21,-49.548477,-12.742171
22,-46.6715,-3.2355592
23,-32.01382,-2.7911022
24,-28.529648,-19.68136
25,-29.879585,-18.982725
26,-48.525883,2.5582423
27,-23.160385,-1.9720602
28,-18.58882,-1.9956815
29,-27.801048,5.7468414
30,-29.161129,-20.566097
31,-44.848236,1.5655438
32,-44.34098,1.480632
33,-35.104885,7.7805624
34,-30.298508,4.0046167
35,-31.299963,-17.517143
36,-25.031738,4.92798
37,-33.011673,2.5010397
38,-35.707253,-12.283601
39,-29.695272,-12.153063
40,-28.257963,-7.0841904
41,-37.925137,10.542673
42,-35.86934,-13.79765
43,-27.906397,-10.775759
44,-30.20942,-14.267455
45,-24.3921,-0.18976781
46,-46.839928,-18.276463
47,-31.612543,-12.590184
48,-27.740591,-7.1389933
49,-32.976864,0.9228183
50,-31.661648,-18.022005
51,-27.754446,-6.209117
52,-31.135342,-18.75614
53,-27.419971,-13.424183
54,-32.30987,-2.3677604
55,-44.824993,-11.476121
56,-36.803852,2.2254372
57,-46.7819,-18.373005
58,-36.882664,-18.09056
59,-39.301193,9.219102
60,-28.839634,-20.297752
61,-26.001205,4.1952734
62,-38.48207,-0.6789704
63,-47.254814,-10.510207
64,-46.43364,1.2756672
65,-17.599052,-2.9082148
66,-35.53971,-13.573514
67,-53.462666,-10.159013
68,-37.859756,2.7847495
69,-52.270668,-11.202058
70,-35.59556,-17.605766
71,-32.03872,-1.7139902
72,-28.699644,-13.323218
