id,x,y
0,-29.636614,-11.426147
1,-40.438473,-21.738684
2,-28.548628,-2.01998
3,-34.832172,1.8681182
4,-34.133423,-24.630148
5,-44.706802,3.0657506
6,-34.806316,3.2055128
7,-44.450787,9.289752
8,-40.45053,-21.217676
9,-51.621044,6.538472
10,-52.83872,6.5895977
11,-44.95553,6.6661377
12,-29.974653,-17.350414
13,-47.71913,-2.081925
14,-34.15972,6.013289
15,-41.34444,12.929475
16,-24.601532,-17.43579
17,-45.234787,11.205867
18,-36.254635,-23.27115
19,-40.50426,1.328171
20,-36.25646,2.6109054
21,-27.847303,-19.807495
22,-35.649178,2.1991622
23,-35.250572,-4.924623
24,-46.645283,-14.992195
25,-45.140778,-14.972693
26,-34.616722,8.066894
27,-47.357216,1.2570316
28,-49.62114,-4.1037607
29,-48.370495,5.530703
30,-46.39318,-16.036053
31,-38.045975,6.3226547
32,-38.54115,6.1306705
33,-45.78328,11.980334
34,-49.982788,8.844335
35,-43.309673,-13.734719
36,-53.06794,5.1874485
37,-29.943914,-2.6542404
38,-43.975838,-4.6919804
39,-38.033337,-10.1354065
40,-30.840391,-10.404594
41,-43.008583,14.606575
42,-44.160484,-6.263459
43,-34.610508,-11.033574
44,-41.316784,-10.604484
45,-48.837925,3.14881
46,-33.288193,-23.864426
47,-40.674755,-8.486201
48,-31.425394,-10.123878
49,-28.999361,-3.8197024
50,-43.20163,-14.466415
51,-32.041092,-9.288862
52,-43.896557,-15.021095
53,-39.96776,-11.799917
54,-34.947872,-4.405249
55,-31.542849,-16.763016
56,-45.450558,6.173821
57,-33.352997,-23.949986
58,-40.98841,-18.433441
59,-42.086205,12.988123
60,-46.60423,-15.667489
61,-51.638817,4.8480787
62,-45.187473,1.7548097
63,-28.928186,-17.025612
64,-36.437725,6.386891
65,-48.79553,-5.732298
66,-44.491936,-6.0313435
67,-23.2943,-18.826462
68,-45.771595,5.61368
69,-24.766817,-19.277412
70,-40.80238,-17.088058
71,-33.900986,-4.3407407
72,-40.242626,-10.033405
73,-47.38141,0.7160828
74,-44.82505,1.248964
75,-44.976364,-1.0296834
76,-31.93804,-10.848829
77,-50.08512,-2.9930377
78,-46.974262,-1.3406805
79,-43.994812,9.192167
80,-48.7169,9.783895
81,-48.036385,8.572256
82,-46.152504,-1.3360152
83,-33.672527,-21.701038
84,-31.99226,-7.6457443
85,-40.027485,-20.234587
86,-34.45131,-15.483553
87,-30.319342,-10.927717
88,-43.66478,14.646346
89,-45.12462,6.975328
90,-49.657227,-3.5830784
91,-28.741339,-2.1395788
92,-46.86092,9.74182
93,-50.115482,8.745464
94,-48.856884,3.6699922
95,-46.89123,-14.7231045
96,-31.497137,-6.895522
97,-49.18425,-4.5414977
98,-43.86622,12.657277
99,-44.552692,2.2734277
100,-51.223457,7.973035
101,-44.75335,-7.214188
102,-46.839622,-1.734873
103,-44.592167,1.4660764
104,-45.54638,7.1709733
105,-36.673546,1.8833
106,-33.12497,-14.531875
107,-29.955439,-19.707457
108,-34.931236,6.438153
109,-47.937893,-6.1093955
110,-38.982212,5.000469
111,-33.194633,-22.977615
